Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,1,LEC,ferrari,1,1,0,26.0
2022,1,SAI,ferrari,3,2,0,18.0
2022,1,HAM,mercedes,5,3,0,15.0
2022,1,RUS,mercedes,9,4,0,12.0
2022,1,MAG,haas,7,5,0,10.0
2022,1,BOT,alfa,6,6,0,8.0
2022,1,OCO,alpine,11,7,0,6.0
2022,1,TSU,alphatauri,16,8,0,4.0
2022,1,ALO,alpine,8,9,0,2.0
2022,1,ZHO,alfa,15,10,0,1.0
2022,1,MSC,haas,12,11,0,0.0
2022,1,STR,aston_martin,19,12,0,0.0
2022,1,ALB,williams,14,13,0,0.0
2022,1,RIC,mclaren,18,14,0,0.0
2022,1,NOR,mclaren,13,15,0,0.0
2022,1,LAT,williams,20,16,0,0.0
2022,1,HUL,aston_martin,17,17,0,0.0
2022,1,PER,red_bull,4,18,1,0.0
2022,1,VER,red_bull,2,19,1,0.0
2022,1,GAS,alphatauri,10,20,1,0.0
2022,2,VER,red_bull,4,1,0,25.0
2022,2,LEC,ferrari,2,2,0,19.0
2022,2,SAI,ferrari,3,3,0,15.0
2022,2,PER,red_bull,1,4,0,12.0
2022,2,RUS,mercedes,6,5,0,10.0
2022,2,OCO,alpine,5,6,0,8.0
2022,2,NOR,mclaren,11,7,0,6.0
2022,2,GAS,alphatauri,9,8,0,4.0
2022,2,MAG,haas,10,9,0,2.0
2022,2,HAM,mercedes,15,10,0,1.0
2022,2,ZHO,alfa,12,11,0,0.0
2022,2,HUL,aston_martin,17,12,0,0.0
2022,2,STR,aston_martin,13,13,0,0.0
2022,2,ALB,williams,16,14,1,0.0
2022,2,BOT,alfa,8,15,1,0.0
2022,2,ALO,alpine,7,16,1,0.0
2022,2,RIC,mclaren,14,17,1,0.0
2022,2,LAT,williams,18,18,1,0.0
2022,2,TSU,alphatauri,19,19,1,0.0
2022,2,MSC,haas,0,20,1,0.0
2022,3,LEC,ferrari,1,1,0,26.0
2022,3,PER,red_bull,3,2,0,18.0
2022,3,RUS,mercedes,6,3,0,15.0
2022,3,HAM,mercedes,5,4,0,12.0
2022,3,NOR,mclaren,4,5,0,10.0
2022,3,RIC,mclaren,7,6,0,8.0
2022,3,OCO,alpine,8,7,0,6.0
2022,3,BOT,alfa,12,8,0,4.0
2022,3,GAS,alphatauri,11,9,0,2.0
2022,3,ALB,williams,20,10,0,1.0
2022,3,ZHO,alfa,14,11,0,0.0
2022,3,STR,aston_martin,19,12,0,0.0
2022,3,MSC,haas,15,13,0,0.0
2022,3,MAG,haas,16,14,0,0.0
2022,3,TSU,alphatauri,13,15,0,0.0
2022,3,LAT,williams,18,16,0,0.0
2022,3,ALO,alpine,10,17,0,0.0
2022,3,VER,red_bull,2,18,1,0.0
2022,3,VET,aston_martin,17,19,1,0.0
2022,3,SAI,ferrari,9,20,1,0.0
2022,4,VER,red_bull,1,1,0,26.0
2022,4,PER,red_bull,3,2,0,18.0
2022,4,NOR,mclaren,5,3,0,15.0
2022,4,RUS,mercedes,11,4,0,12.0
2022,4,BOT,alfa,7,5,0,10.0
2022,4,LEC,ferrari,2,6,0,8.0
2022,4,TSU,alphatauri,12,7,0,6.0
2022,4,VET,aston_martin,13,8,0,4.0
2022,4,MAG,haas,8,9,0,2.0
2022,4,STR,aston_martin,15,10,0,1.0
2022,4,ALB,williams,18,11,0,0.0
2022,4,GAS,alphatauri,17,12,0,0.0
2022,4,HAM,mercedes,14,13,0,0.0
2022,4,OCO,alpine,16,14,0,0.0
2022,4,ZHO,alfa,0,15,0,0.0
2022,4,LAT,williams,19,16,0,0.0
2022,4,MSC,haas,10,17,0,0.0
2022,4,RIC,mclaren,6,18,0,0.0
2022,4,ALO,alpine,9,19,1,0.0
2022,4,SAI,ferrari,4,20,1,0.0
2022,5,VER,red_bull,3,1,0,26.0
2022,5,LEC,ferrari,1,2,0,18.0
2022,5,SAI,ferrari,2,3,0,15.0
2022,5,PER,red_bull,4,4,0,12.0
2022,5,RUS,mercedes,12,5,0,10.0
2022,5,HAM,mercedes,6,6,0,8.0
2022,5,BOT,alfa,5,7,0,6.0
2022,5,OCO,alpine,20,8,0,4.0
2022,5,ALB,williams,18,9,0,2.0
