Year,Round,Driver,Driver_Championship_Pos,Driver_Championship_Pts,Constructor_Championship_Pos
2022,2,LEC,1,26.0,
2022,2,SAI,2,18.0,
2022,2,HAM,3,15.0,
2022,2,RUS,4,12.0,
2022,2,MAG,5,10.0,
2022,2,BOT,6,8.0,
2022,2,OCO,7,6.0,
2022,2,TSU,8,4.0,
2022,2,ALO,9,2.0,
2022,2,ZHO,10,1.0,
2022,2,MSC,11,0.0,
2022,2,STR,12,0.0,
2022,2,ALB,13,0.0,
2022,2,RIC,14,0.0,
2022,2,NOR,15,0.0,
2022,2,LAT,16,0.0,
2022,2,HUL,17,0.0,
2022,2,PER,18,0.0,
2022,2,VER,19,0.0,
2022,7,VER,1,110.0,
2022,7,LEC,2,104.0,
2022,7,PER,3,85.0,
2022,7,RUS,4,74.0,
2022,7,SAI,5,65.0,
2022,7,HAM,6,46.0,
2022,7,NOR,7,39.0,
2022,7,BOT,8,38.0,
2022,7,OCO,9,30.0,
2022,7,MAG,10,15.0,
2022,7,RIC,11,11.0,
2022,7,TSU,12,11.0,
2022,7,GAS,13,6.0,
2022,7,VET,14,4.0,
2022,7,ALO,15,4.0,
2022,7,ALB,16,3.0,
2022,7,STR,17,2.0,
2022,7,ZHO,18,1.0,
2022,7,MSC,19,0.0,
2022,7,HUL,20,0.0,
2022,7,LAT,21,0.0,
2022,12,VER,1,208.0,
2022,12,LEC,2,170.0,
2022,12,PER,3,151.0,
2022,12,SAI,4,133.0,
2022,12,RUS,5,128.0,
2022,12,HAM,6,109.0,
2022,12,NOR,7,64.0,
2022,12,OCO,8,52.0,
2022,12,BOT,9,46.0,
2022,12,ALO,10,29.0,
2022,12,MAG,11,22.0,
2022,12,RIC,12,17.0,
2022,12,GAS,13,16.0,
2022,12,VET,14,15.0,
2022,12,MSC,15,12.0,
2022,12,TSU,16,11.0,
2022,12,ZHO,17,5.0,
2022,12,ALB,18,3.0,
2022,12,STR,19,3.0,
2022,12,LAT,20,0.0,
2022,12,HUL,21,0.0,
2022,17,VER,1,335.0,
2022,17,LEC,2,219.0,
2022,17,PER,3,210.0,
2022,17,RUS,4,203.0,
2022,17,SAI,5,187.0,
2022,17,HAM,6,168.0,
2022,17,NOR,7,88.0,
2022,17,OCO,8,66.0,
2022,17,ALO,9,59.0,
2022,17,BOT,10,46.0,
2022,17,GAS,11,22.0,
2022,17,MAG,12,22.0,
2022,17,VET,13,20.0,
2022,17,RIC,14,19.0,
2022,17,MSC,15,12.0,
2022,17,TSU,16,11.0,
2022,17,ZHO,17,6.0,
2022,17,STR,18,5.0,
2022,17,ALB,19,4.0,
2022,17,DEV,20,2.0,
2022,17,LAT,21,0.0,
2022,17,HUL,22,0.0,
2022,22,VER,1,429.0,
2022,22,LEC,2,290.0,
2022,22,PER,3,290.0,
2022,22,RUS,4,265.0,
2022,22,HAM,5,240.0,
2022,22,SAI,6,234.0,
