Year,Round,Driver,Expected_Pace_Delta
2022,1,ALB,64.66973561145096
2022,1,ALO,66.20018185665685
2022,1,BOT,55.26007852612929
2022,1,GAS,96.91800012279327
2022,1,HAM,53.259852460611
2022,1,HUL,69.69827220690331
2022,1,LAT,91.51253661273222
2022,1,LEC,96.99183449739485
2022,1,MAG,87.67068154068147
2022,1,MSC,124.69556191023003
2022,1,NOR,-2.596469329266256
2022,1,OCO,71.52658650253943
2022,1,PER,90.36241697767855
2022,1,RIC,52.8389057077311
2022,1,RUS,55.10819311022533
2022,1,SAI,83.71826302527552
2022,1,STR,70.68221692213956
2022,1,TSU,110.35296920900873
2022,1,VER,88.60578547636396
2022,1,ZHO,51.80693879859609
2022,2,ALB,-5.758330448623383
2022,2,ALO,-0.8323134756465151
2022,2,BOT,54.987959247509934
2022,2,GAS,-1.5981981911481853
2022,2,HAM,-38.89183776059872
2022,2,HUL,-17.07027305142492
2022,2,LAT,-189.49211039765578
2022,2,LEC,-0.6831708859426726
2022,2,MAG,-17.31414830517315
2022,2,NOR,-0.7386039476823498
2022,2,OCO,-0.9579939664108679
2022,2,PER,-1.6838369706147205
2022,2,RIC,-19.363124101134417
2022,2,RUS,-0.9598861442009365
2022,2,SAI,-0.8504485222747462
2022,2,STR,-5.601710466065924
2022,2,VER,-0.9807760275598412
2022,2,ZHO,51.98840126625328
2022,3,ALB,-267.1587723955872
2022,3,ALO,-80.58369983149987
2022,3,BOT,-17.99691557883034
2022,3,GAS,-9.029401228611277
2022,3,HAM,-17.769159619941092
2022,3,LAT,124.92292001408623
2022,3,LEC,-17.954488212829347
2022,3,MAG,-97.48050002122545
2022,3,MSC,26.479102643474107
2022,3,NOR,-0.1453697319366256
2022,3,OCO,20.719826668561836
2022,3,PER,0.17906942260469805
2022,3,RIC,-9.318643242403596
2022,3,RUS,-27.57874268010619
2022,3,SAI,-289.66060318079235
2022,3,STR,-136.85929291987213
2022,3,TSU,14.816815904964642
2022,3,VER,14.788693306482855
2022,3,VET,-289.6012959208947
2022,3,ZHO,-9.072876295286733
2022,4,ALB,-228.04580281975905
2022,4,BOT,-228.3535215909651
2022,4,GAS,-227.98613785311318
2022,4,HAM,-228.15534552554163
2022,4,LAT,-228.11486547102322
2022,4,LEC,-77.31567082787296
2022,4,MAG,-228.22110925956804
2022,4,MSC,-119.69807734096503
2022,4,NOR,-228.0710139175044
2022,4,OCO,-228.0913284027356
2022,4,PER,-123.22365047134554
2022,4,RIC,146.65187181497186
2022,4,RUS,-228.17655574071432
2022,4,STR,-227.92507911083067
2022,4,TSU,-228.21364408984118
2022,4,VER,-123.27223972871798
2022,4,VET,-228.15378968856567
2022,4,ZHO,-227.97579332905298
2022,5,ALB,83.22382251156523
2022,5,ALO,89.71240445144213
2022,5,BOT,12.980446631631821
2022,5,GAS,-3.1619141591254447
2022,5,HAM,40.450797967914696
2022,5,LAT,52.25616299662306
2022,5,LEC,25.81472855987886
2022,5,MAG,53.922802811300244
2022,5,MSC,92.77582568480284
2022,5,NOR,69.57893317336675
2022,5,OCO,8.920814647592124
2022,5,PER,-15.438024723643139
2022,5,RIC,-61.71642645846987
2022,5,RUS,51.58060385605131
2022,5,SAI,7.363356623001891
2022,5,STR,51.59575335485715
2022,5,TSU,20.482300424755522
2022,5,VER,12.56019577013285
2022,5,VET,50.46949097340894
2022,5,ZHO,-94.57296759340534
2022,6,ALB,15.267591820071175
2022,6,ALO,36.94250633748197
2022,6,BOT,41.787360624641224
2022,6,GAS,42.80359355151268
2022,6,HAM,35.282754782418124
2022,6,LAT,19.83484432703517
2022,6,LEC,-26.295732766379842
2022,6,MAG,109.25939383089826
2022,6,MSC,12.119799334988784
2022,6,NOR,29.016959853530352
2022,6,OCO,17.659151456895415
2022,6,PER,8.226844218264887
2022,6,RIC,0.19848585160252696
2022,6,RUS,31.42143676403066
2022,6,SAI,54.15720605648039
2022,6,STR,4.092085681109893
2022,6,TSU,33.98157479470319
2022,6,VER,-31.381801254483435
2022,6,VET,-62.49236240643586
2022,6,ZHO,19.61263405628233
2022,7,ALB,61.11006291161084
2022,7,ALO,223.73059385998022
2022,7,BOT,-184.87525771211494
2022,7,GAS,-191.7598459305509
2022,7,HAM,226.22136717154444
2022,7,LAT,173.97706436993303
2022,7,LEC,-187.85742528355695
2022,7,MSC,-348.77928437072205
2022,7,NOR,70.3580458032875
2022,7,OCO,223.91097274476306
2022,7,PER,225.8170088197503
2022,7,RIC,-181.10891281629756
2022,7,RUS,223.93549236987928
2022,7,SAI,-187.90538632898824
2022,7,STR,-348.5537040568588
2022,7,TSU,346.14287656019314
2022,7,VER,226.00606531053745
2022,7,VET,-196.79702305432784
2022,7,ZHO,220.57869966983708
2022,8,ALB,266.88929809188176
2022,8,ALO,151.8708280046376
2022,8,BOT,190.22390807937336
2022,8,GAS,254.84857867727442
2022,8,HAM,266.9464379649744
2022,8,LAT,175.12119607365366
2022,8,LEC,254.93276234519544
2022,8,MAG,254.97592956036806
2022,8,MSC,217.15504420163325
2022,8,NOR,125.47154689765193
2022,8,OCO,190.12012045556367
2022,8,PER,196.93670807109538
2022,8,RIC,190.27114741542755
2022,8,RUS,266.7918663101955
2022,8,SAI,-190.00507922025645
2022,8,STR,165.40865201749511
2022,8,TSU,144.26242223548434
2022,8,VER,172.2141239782004
2022,8,VET,255.03522946352587
2022,8,ZHO,254.7704964062741
2022,9,ALB,52.791975381833254
2022,9,ALO,3.291580486642488
2022,9,BOT,-37.72349377857972
2022,9,GAS,117.84290428968052
2022,9,HAM,87.17361437947693
2022,9,LAT,119.79890375191735
2022,9,LEC,4.01183535709788
2022,9,MAG,110.6200282048394
